URL,has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,url_length,has_hyphens,domain,subdomain_count,Phishing_TLD,label
http://www.eki-net.con-aescceccesaas.qfuhtb.top/jp.php,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,www.eki-net.con-aescceccesaas.qfuhtb.top,3,1,1
http://www.eki-net.con-aescceccesaas.qsnbpy.top/jp.php,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,www.eki-net.con-aescceccesaas.qsnbpy.top,3,1,1
http://www.eki-net.con-aescceccesaas.trea.top/jp.php,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,www.eki-net.con-aescceccesaas.trea.top,3,1,1
http://www.eki-net.con-aescceccesaas.ucwxyw.top/jp.php,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,www.eki-net.con-aescceccesaas.ucwxyw.top,3,1,1
http://www.eki-net.con-aescceccesaas.vcuu.top/jp.php,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,www.eki-net.con-aescceccesaas.vcuu.top,3,1,1
http://www.eki-net.con-aescceccesaas.vnbncj.top/jp.php,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,www.eki-net.con-aescceccesaas.vnbncj.top,3,1,1
http://www.eki-net.con-aescceccesaas.zomoen.top/jp.php,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,www.eki-net.con-aescceccesaas.zomoen.top,3,1,1
http://www.eki-net.con-aescceccesaas.zttpjx.top/jp.php,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,www.eki-net.con-aescceccesaas.zttpjx.top,3,1,1
http://www.eki-net.con-aescceccesaas.zynbuz.top/jp.php,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,www.eki-net.con-aescceccesaas.zynbuz.top,3,1,1
http://www.eki-net.con-aescceeeeaas.ceqyni.top/jp.php,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,www.eki-net.con-aescceeeeaas.ceqyni.top,3,1,1
